Light,Food,Strain,Ev,Acc,Rep,W140,W154,W167,W184
100,Xenic,1393,18,18,A,0.469872474,0.608373237,0.132904431,0.350775542
100,Xenic,1393,18,18,B,0.681766646,0.564203457,0.092723504,0.310365378
100,Xenic,1393,18,18,C,0.549366959,0.52574485,0.158677872,0.35304868
100,Xenic,1393,18,18,D,0.472833273,0.504059114,0.176041353,0.388361599
100,Xenic,1393,18,18,E,0.549894202,0.563003733,0.182661447,0.277104866
100,Xenic,1393,18,18,F,0.532299581,0.690167287,0.253578152,0.310365049
100,Xenic,1391,18,18,A,0.279250464,0.395357642,0.258929408,0.302457405
100,Xenic,1391,18,18,B,0.211955138,0.383282846,0.281932894,0.260588072
100,Xenic,1391,18,18,C,0.241631986,0.346398631,0.182966149,0.303636738
100,Xenic,1391,18,18,D,0.266439508,0.363679567,0.162983367,0.26223452
100,Xenic,1391,18,18,E,0.28085066,0.372674447,0.20284933,0.293295729
100,Xenic,1391,18,18,F,0.223374446,0.324047368,0.180360233,0.302439123
100,Xenic,2951,18,18,A,0.311238719,0.464191163,0.132262379,0.271352363
100,Xenic,2951,18,18,B,0.26506471,0.606155007,0.153231068,0.210550468
100,Xenic,2951,18,18,C,0.407671588,0.575070344,0.140390129,0.258431809
100,Xenic,2951,18,18,D,0.273483155,0.363552524,0.189811137,0.156195305
100,Xenic,2951,18,18,E,0.272770495,0.53618602,0.130614767,0.266161522
100,Xenic,2951,18,18,F,0.31032592,0.501801098,0.171579389,0.238861587
100,Xenic,1393,24,18,A,0.347240089,0.51253554,0.123551244,0.263790039
100,Xenic,1393,24,18,B,0.375810999,0.419890833,0.177582668,0.281298454
100,Xenic,1393,24,18,C,0.422900634,0.414535271,0.297241626,0.254587431
100,Xenic,1393,24,18,D,0.331500666,0.371639219,0.176086564,0.246951127
100,Xenic,1393,24,18,E,0.341790544,0.444973516,0.245254204,0.291477387
100,Xenic,1393,24,18,F,0.382167589,0.473711113,0.087299165,0.278699351
100,Xenic,1391,24,18,A,0.107136002,0.041261496,0.058412704,0.055640698
100,Xenic,1391,24,18,B,0.183494233,0.21492836,0.121678257,0.185884396
100,Xenic,1391,24,18,C,0.120624003,0.126972206,0.105269645,0.162465134
100,Xenic,1391,24,18,D,0.083448285,0.050409661,0.065757416,0.081409727
100,Xenic,1391,24,18,E,0.090171215,0.117586381,0.035515028,0.169631788
100,Xenic,1391,24,18,F,0.016868399,-0.067669718,0.019908559,0.015930511
100,Xenic,2951,24,18,A,0.217078386,0.324015181,0.118045724,0.202847512
100,Xenic,2951,24,18,B,0.321009695,0.328642048,0.182915716,0.25425081
100,Xenic,2951,24,18,C,0.289571636,0.281580632,0.079970444,0.260471513
100,Xenic,2951,24,18,D,0.269400256,0.270264594,0.171673039,0.211693478
100,Xenic,2951,24,18,E,0.282121877,0.193430209,0.061697205,0.249141929
100,Xenic,2951,24,18,F,0.368446686,0.259224382,0.191131377,0.253304203
100,Xenic,1393,24,24,A,0.797240819,0.56376842,0.56666927,0.36119813
100,Xenic,1393,24,24,B,0.792479679,0.578981971,0.561489045,0.378884057
100,Xenic,1393,24,24,C,0.647142993,0.575328632,0.388321587,0.347527784
100,Xenic,1393,24,24,D,0.745297469,0.404692541,0.448917203,0.318474536
100,Xenic,1393,24,24,E,0.656073775,0.446904888,0.492649563,0.359695619
100,Xenic,1393,24,24,F,0.735567468,0.45456748,0.404548672,0.373130578
100,Xenic,1391,24,24,A,0.482407581,0.461592151,0.33463977,0.378172695
100,Xenic,1391,24,24,B,0.41688455,0.428514557,0.333724233,0.382179075
100,Xenic,1391,24,24,C,0.429991218,0.42126049,0.280017276,0.396200413
100,Xenic,1391,24,24,D,0.451153919,0.521450532,0.30279773,0.361769782
100,Xenic,1391,24,24,E,0.436150021,0.491252043,0.266151552,0.371877786
100,Xenic,1391,24,24,F,0.495695675,0.579507651,0.296988765,0.37992813
100,Xenic,2951,24,24,A,0.638061986,0.695732702,0.577168715,0.429329578
100,Xenic,2951,24,24,B,0.586280252,0.614908557,0.513709554,0.334381571
100,Xenic,2951,24,24,C,0.622011303,0.597602261,0.413972427,0.322337971
100,Xenic,2951,24,24,D,0.613680659,0.506393846,0.515796954,0.29837646
100,Xenic,2951,24,24,E,0.570232389,0.533214926,0.435659916,0.374403757
100,Xenic,2951,24,24,F,0.655291009,0.571137298,0.513050087,0.32861279
100,Xenic,1391,24,30,A,0.201713673,0.433909837,0.325593246,0.425392442
100,Xenic,1391,24,30,B,0.159490724,0.309746889,0.38557876,0.409966753
100,Xenic,1391,24,30,C,0.160789118,0.254926107,0.369931292,0.403118849
100,Xenic,1391,24,30,D,0.16268084,0.275737312,0.34370616,0.413371534
100,Xenic,1391,24,30,E,0.170326121,0.304174188,0.277140099,0.41760235
100,Xenic,1391,24,30,F,0.214601958,0.490588307,0.394441238,0.420414743
100,Xenic,2951,24,30,A,0.21490732,0.45570185,0.392120017,0.502641992
100,Xenic,2951,24,30,B,0.412380093,0.393686324,0.407882256,0.352602878
100,Xenic,2951,24,30,C,0.268351356,0.473872278,0.304679536,0.336572579
100,Xenic,2951,24,30,D,0.306828179,0.334900941,0.481443452,0.354124285
100,Xenic,2951,24,30,E,0.389475202,0.430004144,0.209643278,0.349286446
100,Xenic,2951,24,30,F,0.420584273,0.569591768,0.320094988,0.381289836
100,Xenic,1391,30,30,A,0.253839726,0.601104756,0.342863782,0.3889137
100,Xenic,1391,30,30,B,0.271012395,0.577430199,0.340205125,0.450369852
100,Xenic,1391,30,30,C,0.357049788,0.674574537,0.323493996,0.454316005
100,Xenic,1391,30,30,D,0.328038625,0.578805464,0.32826019,0.449349292
100,Xenic,1391,30,30,E,0.304260511,0.643231905,0.326278771,0.416387958
100,Xenic,1391,30,30,F,0.276920042,0.543711369,0.307692223,0.431334448
100,Xenic,2951,30,30,A,0.557964437,0.711296352,0.554477986,0.45461684
100,Xenic,2951,30,30,B,0.491041563,0.531294866,0.301516666,0.380546942
100,Xenic,2951,30,30,C,0.488351525,0.616239954,0.213873505,0.453764468
100,Xenic,2951,30,30,D,0.461009116,0.644317075,0.335421616,0.393933211
100,Xenic,2951,30,30,E,0.48637385,0.718104281,0.28655845,0.360991944
100,Xenic,2951,30,30,F,0.413154539,0.725461086,0.286733582,0.350314958